1,天气查询服务,https://example.com/icons/weather.png,提供全球城市天气查询功能，支持实时天气、天气预报、空气质量等数据,https://api.weather.example.com/mcp,"{""type"":""object"",""properties"":{""city"":{""type"":""string""},""date"":{""type"":""string""}}}",数据查询,156,4.5,true,2,2025-11-12 06:25:49.625832 +00:00,2025-11-19 06:25:49.625832 +00:00,
2,股票数据API,https://example.com/icons/stock.png,实时股票行情查询，支持多市场、多股票查询,https://api.stock.example.com/mcp,"{""type"":""object"",""properties"":{""symbol"":{""type"":""string""},""market"":{""type"":""string""}}}",数据查询,89,4.2,true,3,2025-10-30 06:25:49.625832 +00:00,2025-11-21 06:25:49.625832 +00:00,
3,GitHub API 集成,https://example.com/icons/github.png,GitHub仓库管理、Issue跟踪、PR管理等功能的MCP封装,https://api.github-mcp.example.com/mcp,"{""type"":""object"",""properties"":{""action"":{""type"":""string""},""repo"":{""type"":""string""}}}",Web API,234,4.7,true,2,2025-11-04 06:25:49.625832 +00:00,2025-11-23 06:25:49.625832 +00:00,
4,Slack 消息服务,https://example.com/icons/slack.png,Slack消息发送、频道管理、用户通知等功能,https://api.slack-mcp.example.com/mcp,"{""type"":""object"",""properties"":{""channel"":{""type"":""string""},""message"":{""type"":""string""}}}",Web API,178,4.3,true,4,2025-11-09 06:25:49.625832 +00:00,2025-11-22 06:25:49.625832 +00:00,
5,文件转换服务,https://example.com/icons/file.png,支持多种文件格式转换：PDF、Word、Excel、图片等,https://api.file-convert.example.com/mcp,"{""type"":""object"",""properties"":{""from"":{""type"":""string""},""to"":{""type"":""string""},""file"":{""type"":""string""}}}",文件处理,67,4,true,3,2025-11-14 06:25:49.625832 +00:00,2025-11-24 06:25:49.625832 +00:00,
6,图片处理工具,https://example.com/icons/image.png,图片压缩、裁剪、格式转换、添加水印等功能,https://api.image-process.example.com/mcp,"{""type"":""object"",""properties"":{""operation"":{""type"":""string""},""image"":{""type"":""string""}}}",文件处理,112,4.4,true,2,2025-11-16 06:25:49.625832 +00:00,2025-11-23 06:25:49.625832 +00:00,
7,PostgreSQL 查询工具,https://example.com/icons/postgres.png,PostgreSQL数据库查询、数据导出、表结构分析,https://api.pg-query.example.com/mcp,"{""type"":""object"",""properties"":{""query"":{""type"":""string""},""database"":{""type"":""string""}}}",数据库,45,4.6,true,4,2025-11-12 06:25:49.625832 +00:00,2025-11-20 06:25:49.625832 +00:00,
8,MySQL 数据同步,https://example.com/icons/mysql.png,MySQL数据库同步、备份、数据迁移工具,https://api.mysql-sync.example.com/mcp,"{""type"":""object"",""properties"":{""source"":{""type"":""string""},""target"":{""type"":""string""}}}",数据库,34,4.1,true,3,2025-11-17 06:25:49.625832 +00:00,2025-11-24 06:25:49.625832 +00:00,
9,CRM 客户管理,https://example.com/icons/crm.png,客户信息管理、销售跟进、数据分析等CRM功能,https://api.crm.example.com/mcp,"{""type"":""object"",""properties"":{""action"":{""type"":""string""},""customer_id"":{""type"":""string""}}}",企业工具,78,4.3,true,2,2025-11-06 06:25:49.625832 +00:00,2025-11-18 06:25:49.625832 +00:00,
10,企业邮箱服务,https://example.com/icons/email.png,企业邮箱管理、邮件发送、收件箱查询,https://api.enterprise-email.example.com/mcp,"{""type"":""object"",""properties"":{""to"":{""type"":""string""},""subject"":{""type"":""string""},""body"":{""type"":""string""}}}",企业工具,56,4.2,true,4,2025-11-10 06:25:49.625832 +00:00,2025-11-21 06:25:49.625832 +00:00,
11,GPT-4 增强服务,https://example.com/icons/gpt.png,GPT-4模型调用、对话管理、上下文处理,https://api.gpt4-mcp.example.com/mcp,"{""type"":""object"",""properties"":{""prompt"":{""type"":""string""},""model"":{""type"":""string""}}}",AI 推理 / 模型,298,4.8,true,2,2025-11-02 06:25:49.625832 +00:00,2025-11-23 06:25:49.625832 +00:00,
12,Claude AI 助手,https://example.com/icons/claude.png,Anthropic Claude模型集成，支持长文本处理,https://api.claude-mcp.example.com/mcp,"{""type"":""object"",""properties"":{""message"":{""type"":""string""},""max_tokens"":{""type"":""number""}}}",AI 推理 / 模型,201,4.6,true,3,2025-11-05 06:25:49.625832 +00:00,2025-11-22 06:25:49.625832 +00:00,
13,高德地图服务,https://example.com/icons/amap.png,地理位置查询、路径规划、POI搜索,https://api.amap-mcp.example.com/mcp,"{""type"":""object"",""properties"":{""location"":{""type"":""string""},""type"":{""type"":""string""}}}",地图 / 地理,134,4.4,true,2,2025-11-08 06:25:49.625832 +00:00,2025-11-19 06:25:49.625832 +00:00,
14,地理编码服务,https://example.com/icons/geocode.png,地址与坐标互转、地理信息查询,https://api.geocode.example.com/mcp,"{""type"":""object"",""properties"":{""address"":{""type"":""string""}}}",地图 / 地理,67,4.1,true,4,2025-11-13 06:25:49.625832 +00:00,2025-11-20 06:25:49.625832 +00:00,
15,音乐推荐引擎,https://example.com/icons/music.png,基于用户喜好的音乐推荐、播放列表生成,https://api.music-recommend.example.com/mcp,"{""type"":""object"",""properties"":{""genre"":{""type"":""string""},""mood"":{""type"":""string""}}}",娱乐,123,4.5,true,3,2025-11-15 06:25:49.625832 +00:00,2025-11-23 06:25:49.625832 +00:00,
16,电影信息查询,https://example.com/icons/movie.png,电影信息、评分、演员、上映时间查询,https://api.movie-info.example.com/mcp,"{""type"":""object"",""properties"":{""title"":{""type"":""string""},""year"":{""type"":""number""}}}",娱乐,98,4.3,true,2,2025-11-18 06:25:49.625832 +00:00,2025-11-24 06:25:49.625832 +00:00,
